Created_at,Id,Full_text,Location,User_description,Date
Thu Jul 04 09:04:40 +0000 2019,1146706380612653056,"RT @JPIAMR: Come see JPIAMR at FEMS 2019!
Members of JPIAMR will attend #FEMS2019 from July 7-11 in Glasgow, Scotland. Please stop by our p…",Europe,"Federation of European Microbiological Societies

Instagram: https://t.co/PDNxw4b1yU",2019-07-04
Thu Jul 04 08:08:23 +0000 2019,1146692214250229761,looking forward to an interesting day about amr and what an unusual venue #Antibioticresistance https://t.co/gjlUJXWCQq,,,2019-07-04
Thu Jul 04 08:08:01 +0000 2019,1146692122650824704,"Come see JPIAMR at FEMS 2019!
Members of JPIAMR will attend #FEMS2019 from July 7-11 in Glasgow, Scotland. Please stop by our poster on the JPIAMR Virtual Research Institute. 
Poster number: PT138

More here: https://t.co/EJr0S1RkEE
#AMR #AntibioticResistance #FEMS2019 #JPIAMR https://t.co/2NP8FRbuPY",,The Joint Programming Initiative on Antimicrobial Resistance. Coordinates Strategic #AMR Research and Funding. 27 member nations. #Antibioticresistance #Global,2019-07-04
Thu Jul 04 07:39:00 +0000 2019,1146684820677808128,"Have a look at this recent review about #AntibioticResistance - Antibiotic resistance, the 3As and the road ahead #microbiome https://t.co/wFb5d1rm5c … #gutpathogens https://t.co/r02XEGiTWs",London,"A leading Open Access journal that publishes research on biological and clinical aspects of pathogens, commensals and functional microbiota of the gut.",2019-07-04
Thu Jul 04 07:08:04 +0000 2019,1146677035030523904,@SepsisUK Absolutely agree. That wasn't my point. Treating sepsis is exactly why we need to keep antibiotics working &amp; why charities such as @UKSepsisTrust &amp; @1Antruk should work together #research to tackle #AntibioticResistance,Manchester,"Fundraiser, currently supporting Antibiotic Research UK @1ANTRUK. Tweets are all my own and don't represent the charities that I work for.",2019-07-04
Thu Jul 04 07:07:40 +0000 2019,1146676935163965440,Jhonson gonna make it as d human did not took full course of antibiotics and then they will rise again more powerful then earlier #AntibioticResistance https://t.co/kMbMUlgaRs,"India, delhi",I am a adventure hungry person...who lovz to travel to new places & party ...etc..etc..etc....!!!!!!!!!,2019-07-04
Thu Jul 04 07:06:59 +0000 2019,1146676763998769152,Thanks 4 follow @GroupBStrep: as a Hub #OneHealth we try our best to reduce #antibioticresistance #AMR in livestock production for safer aby food and more effective medical care. Somehow we like the idea of striving 4 a stronger #NEXTGEN #biosecurity. https://t.co/5GBaeLCBYt,Milano - Italia,Hub One Health supporting disease prevention strategies focused on #biosecurity for a sustainable livestock production and a socially accountable animal health.,2019-07-04
Thu Jul 04 07:00:22 +0000 2019,1146675097870262272,New study unravels protection mechanism in #bacteria | #infection #antibiotics #AntibioticResistance https://t.co/VogOqSIxDM https://t.co/vbX2mSyqD4,"Cambridge, UK",We recruit commercial roles for clients working in the lab instrumentation and supplies market.,2019-07-04
Thu Jul 04 06:51:17 +0000 2019,1146672814168117248,@SepsisUK thanks for all your great work highlighting sepsis treatment within 1hr. Also important to highlight treatment will only work if antibiotics work. #AntibioticResistance on the increase. Please work with @1Antruk to ensure antibiotics  work when people really need them.,Manchester,"Fundraiser, currently supporting Antibiotic Research UK @1ANTRUK. Tweets are all my own and don't represent the charities that I work for.",2019-07-04
Thu Jul 04 06:27:06 +0000 2019,1146666725863284736,@bbc5live Estimated that 1/3 of #Sepsis deaths caused by antibiotic resistant infections. Treating with antibiotics within an hour will only help if antibiotics are working! Please highlight this in your story. @1Antruk is the only #Charity formed to tackle #AntibioticResistance,Manchester,"Fundraiser, currently supporting Antibiotic Research UK @1ANTRUK. Tweets are all my own and don't represent the charities that I work for.",2019-07-04
Thu Jul 04 06:04:51 +0000 2019,1146661127591534592,RT @worldsis_org: Save the date 11 December. WSIS will be supporting this free webinar @Infectsurg #AMR #AntibioticResistance #safesurgery…,,"Surgical Infection Society Europe: We aim to promote and encourage education and research in the nature, prevention, diagnosis & treatment of surgical infection",2019-07-04
Thu Jul 04 06:00:26 +0000 2019,1146660016268726273,RT @worldsis_org: Save the date 11 December. WSIS will be supporting this free webinar @Infectsurg #AMR #AntibioticResistance #safesurgery…,"Madrid, España @HospitalULaPaz","Passionate about #colorectalsurgery, determined to make a difference in #surgicalinfection,engaged with research, #innovation, education and #surgicaltraining.",2019-07-04
Thu Jul 04 05:01:03 +0000 2019,1146645070243926016,RT @_FaceSA: Could an interdisciplinary approach to patient care decrease the use of broad spectrum antibiotics? As an unfortunate witness…,University of Cape town,"Co-Chair South African Antibiotic Stewardship Program. Division Medical Microbiology, Faculty of Health Sciences, University of Cape Town.",2019-07-04
Thu Jul 04 04:30:36 +0000 2019,1146637411213987840,"RT @WHOSEARO: #AntibioticResistance is accelerated by the misuse and overuse of antibiotics.
 
 👉  The world urgently needs to change the w…",Indonesia,COMC 2016.,2019-07-04
Thu Jul 04 03:45:28 +0000 2019,1146626050052558854,"RT @WHOSEARO: #AntibioticResistance is accelerated by the misuse and overuse of antibiotics.
 
 👉  The world urgently needs to change the w…",México,|La inequidad me indigna|Resiliente |Feminista|Abogada en formación @UNAM_MX | Me apasiona la Salud Global y AMR 🗺|promoción a la salud @CUSdeMexico|,2019-07-04
Thu Jul 04 03:29:46 +0000 2019,1146622098153996288,"RT @WHOSEARO: #AntibioticResistance is accelerated by the misuse and overuse of antibiotics.
 
 👉  The world urgently needs to change the w…","Bangkok, Thailand","Communications consultant, ECTAD @FAOemergencies at @FAO @FAOAsiaPacific | #AntimicrobialResistance #ComDev #PadayonCom #igersPerth | My own views",2019-07-04
Thu Jul 04 03:26:33 +0000 2019,1146621289194352640,"RT @WHOSEARO: #AntibioticResistance is accelerated by the misuse and overuse of antibiotics.
 
 👉  The world urgently needs to change the w…",FAO Regional Office for Asia a,News and information from the Food and Agriculture Organization of the United Nations (@FAO) Regional Office for Asia and the Pacific. Working for #ZeroHunger,2019-07-04
Thu Jul 04 02:27:45 +0000 2019,1146606493699117056,"RT @memeddx: Hello from Dalian, China! Honored to be one of the #techpioneers19 at @wef's Annual Meeting of the New Champions, where our CE…",Here and Now,I’m Not Quite Right. Survivor — Gifted Life. Working to Alleviate Suffering in Myself & Others.,2019-07-04
Thu Jul 04 00:53:37 +0000 2019,1146582802831482880,"RT @UPennDBEI: Sociological solutions to #AntibioticResistance? Working toward wise prescribing is a great frame for overarching questions,…",,"Infectious Diseases / Antibiotic Stewardship Physician in Rochester, NY, and eternal optimist.",2019-07-04
Thu Jul 04 00:40:09 +0000 2019,1146579413745721344,"RT @WHOSEARO: #AntibioticResistance is accelerated by the misuse and overuse of antibiotics.
 
 👉  The world urgently needs to change the w…","Santa Maria, Brasil","Physiotherapist, interested in Pulmonary and Cardiac Rehab, Adult Intensive Care - Specialist, MSc Student",2019-07-04
Thu Jul 04 00:14:09 +0000 2019,1146572872921436160,RT @TeresaWozniak_: Happy world microbiome day!Take care of those beautiful colonies of microbes that share with us our bodies and environm…,RMH at the Doherty Institute,National Centre for Antimicrobial Stewardship - a One Health approach. Animal and human AMS. Innovation and implementation. Tweets by Prof Karin Thursky + team.,2019-07-04
Wed Jul 03 23:13:56 +0000 2019,1146557718318256131,"RT @M_FerreiraDVM: #InMice, but still important to not ask for antibiotics when you have a virus: ""Antibiotics can leave the lung vulnerabl…","Washington, DC","A public health veterinarian with an aptitude for epidemiology, an interest in antibiotic resistance, and a love of theater",2019-07-03
Wed Jul 03 22:56:47 +0000 2019,1146553401473470464,"Could an interdisciplinary approach to patient care decrease the use of broad spectrum antibiotics? As an unfortunate witness to this I have to agree:
https://t.co/fvs5uBlboh - #MedX #hcsm #hcsmSA #AntibioticResistance cc: @ABpreservation @SouthAfricanASP @NSchellack",South Africa,@StanfordMedX ePatient Scholar for #AntibioticResistance | #hcldr | #HIMSS17 Ambassador | #OneHealth | Founder of #hcsmSA | #ProtectAntibioticsZA,2019-07-03
Wed Jul 03 22:45:26 +0000 2019,1146550546410725376,"RT @DepSecHargan: Antibiotics are powerful tools to fight life-threatening infections, like those that can lead to #sepsis. However, any #a…","Berlin, Deutschland",Founder of Catopuma @catopuma_de - Magento & Drupal developer  🐆 🇨🇳 🇺🇸,2019-07-03
Wed Jul 03 22:03:19 +0000 2019,1146539946666340359,"RT @WHOSEARO: #AntibioticResistance is accelerated by the misuse and overuse of antibiotics.
 
 👉  The world urgently needs to change the w…","Raleigh, NC",ETSU graduate student-MPH in epidemiology. Public Health activist. Trivia nerd.,2019-07-03
Wed Jul 03 22:00:29 +0000 2019,1146539235010387976,"In the UK, antibiotic resistance continues to rise due to increase in use https://t.co/V4gkScmst8 #AntibioticResistance 2014 warning @PHE_uk https://t.co/NjmOeSYF17",United Kingdom,Sharing concerns about EDCs and medicine drug side-effects since 2011. The DiEthylStilbestrol transgenerational studies are still relevant to today's generation,2019-07-03
Wed Jul 03 21:51:07 +0000 2019,1146536875596947457,RT @battlesuperbugs: Our friends @NRDCFood put together this excellent fact sheet on the dangers people who work in the meat production ind…,"Gothenburg, Sweden","#Philosophy professor at @uniofgothenburg, #Bioethics researcher & blogger. Active in @CelamGU & @CARe_GU. No mercy for trolls, bots & netwarriors.",2019-07-03
Wed Jul 03 21:50:04 +0000 2019,1146536609992597505,Our friends @NRDCFood put together this excellent fact sheet on the dangers people who work in the meat production industry face everyday. Thanks for highlighting a side of the #AntibioticResistance issue that is too often neglected or ignored! https://t.co/I3M4EflMAV @NRDC https://t.co/v5TPOZTL62,"Washington, DC",Join the #AntibioticResistance Action Center at the George Washington University (#GWSPH) in the global battle against #antibioticresistance & #superbugs,2019-07-03
Wed Jul 03 21:22:25 +0000 2019,1146529654225944576,RT @Talk_With_FACT: @US_FDA and @CDCgov investigating outbreak of Salmonella linked to pig ear pet treats. No data on #AntibioticResistance…,"Washington, DC",Join the #AntibioticResistance Action Center at the George Washington University (#GWSPH) in the global battle against #antibioticresistance & #superbugs,2019-07-03
Wed Jul 03 21:22:24 +0000 2019,1146529649230516224,RT @bloomburton: [Press Release] @Appili Signs $3M USD Grant Contract with the United States Department of Defense to Develop Antibiotics t…,,Pharmacist,2019-07-03
Wed Jul 03 21:11:02 +0000 2019,1146526787695808512,RT @WHOSEARO: To combat #AntibioticResistance pharmacists 👩🏾‍⚕️👨🏻‍⚕️ should ONLY dispense #antibiotics when the patients have a valid presc…,Timor-Leste,Official @twitter account of WHO Country Office for Timor-Leste,2019-07-03
Wed Jul 03 20:05:39 +0000 2019,1146510334183858177,"RT @_FaceSA: Hi everyone, Vanessa Carter here. An #AntibioticResistance activist and #ePatient scholar - #hcsmSA",South Africa,"Passionate about quality health services in civil society. Activist, nurse, mentor, mother, wife and Atlantic fellow . Blessed and grateful. Sparks ignited...🔥",2019-07-03
Wed Jul 03 20:00:50 +0000 2019,1146509121094586369,"RT @DepSecHargan: Antibiotics are powerful tools to fight life-threatening infections, like those that can lead to #sepsis. However, any #a…","Washington, DC","Biomedical Advanced Research and Development Authority (BARDA), a component of the HHS Assistant Secretary of Preparedness and Response (ASPR)",2019-07-03
Wed Jul 03 19:56:38 +0000 2019,1146508066931773440,RT @JPIAMR: @JPIAMR join forces with @WaterJPI  and @JPIOceans for international showcase @siwi_water in Stockholm on Aug. 28th. Theme: Cha…,"GARDP, Geneva & Uni.Birmingham","Director of Scientific Affairs, Global Antibiotic R&D Partnership, and Professor of Microbiology, University of Birmingham, UK. Views my own",2019-07-03
Wed Jul 03 19:44:58 +0000 2019,1146505129606230016,RT @NRDC: It’s time for @wendys to do its part in fighting one of today’s greatest global health threats: #antibioticresistance. Tell #Wend…,"Washington, DC","Waffles, friends, work. Loving our environment @NRDC. #ProtectOurCoast #OHHillYes #WellesleyForever",2019-07-03
Wed Jul 03 19:43:12 +0000 2019,1146504685794336768,RT @christianmunthe: FULLY FUNDED PHD CANDIDATE POSITION IN #BIOETHICS related to environmental dimensions of  #AntibioticResistance at @CA…,,"Lärare; läser och skriver mycket. filosofi och poesi. . cyklist. älgrädd. Havsälskare, på klippor och strändee.Erotisk.",2019-07-03
Wed Jul 03 19:38:27 +0000 2019,1146503488790286336,RT @CDC_NCEZID: A new @CDCMMWR shows infections among people who inject drugs are commonly caused by #MRSA. Stopping infections associated…,Rhode Island,The mission of the Rhode Island Department of Health is to prevent disease and protect and promote the health and safety of the people of Rhode Island.,2019-07-03
Wed Jul 03 19:37:32 +0000 2019,1146503260561444865,"@US_FDA and @CDCgov investigating outbreak of Salmonella linked to pig ear pet treats. No data on #AntibioticResistance yet but the Salmonella serotype I 4,[5],12:i:- is often multidrug resistant. https://t.co/rRr6WuJ2Tp",,"Food Animal Concerns Trust (FACT) promotes humane farming and advocates for the safe production of meat, milk, and eggs. https://t.co/6WJH0jRiWS",2019-07-03
Wed Jul 03 19:35:22 +0000 2019,1146502712806334465,"RT @DepSecHargan: Antibiotics are powerful tools to fight life-threatening infections, like those that can lead to #sepsis. However, any #a…","Rockville, MD","Early care and education, 2Gen, and social services policy. Montgomery County DHHS. Statements are my own. Retweets and follows are not endorsements.",2019-07-03
Wed Jul 03 19:31:31 +0000 2019,1146501743750107141,"RT @DepSecHargan: Antibiotics are powerful tools to fight life-threatening infections, like those that can lead to #sepsis. However, any #a…",Kuwait,"scientia, integritas et sapientia. The laboratory is my second home. I adore cats, birds and pathogenic #viruses.",2019-07-03
Wed Jul 03 19:29:26 +0000 2019,1146501218220433408,RT @NRDC: It’s time for @wendys to do its part in fighting one of today’s greatest global health threats: #antibioticresistance. Tell #Wend…,,,2019-07-03
Wed Jul 03 19:26:42 +0000 2019,1146500531256299520,"RT @battlesuperbugs: .@BradSpellberg: The best-selling antibiotics sell in the range of tens of millions of dollars per year, which is a ca…",,"CMO LAC+USC, Medical Director Biosciences Los Angeles County, infectious diseases expert, researcher",2019-07-03
Wed Jul 03 19:25:48 +0000 2019,1146500304017530881,"RT @DepSecHargan: Antibiotics are powerful tools to fight life-threatening infections, like those that can lead to #sepsis. However, any #a…",United States,"NCEZID works to protect people from emerging and zoonotic infectious diseases, from anthrax to Zika.",2019-07-03
Wed Jul 03 19:04:09 +0000 2019,1146494859068366848,RT @NRDC: It’s time for @wendys to do its part in fighting one of today’s greatest global health threats: #antibioticresistance. Tell #Wend…,"Colorado, USA",Author of #urbanfantasy & #fantasy #romance; Fantasy with a Touch of Funny; Newsletter: https://t.co/25hEzkmCUV,2019-07-03
Wed Jul 03 19:01:02 +0000 2019,1146494071109804033,A new @CDCMMWR shows infections among people who inject drugs are commonly caused by #MRSA. Stopping infections associated with injecting drugs helps reduce the need for antibiotics &amp; slows the development of #AntibioticResistance. Find resources: https://t.co/a47G4S371q,United States,"NCEZID works to protect people from emerging and zoonotic infectious diseases, from anthrax to Zika.",2019-07-03
Wed Jul 03 19:00:25 +0000 2019,1146493919909306368,It’s time for @wendys to do its part in fighting one of today’s greatest global health threats: #antibioticresistance. Tell #Wendys to end antibiotic overuse in its beef supplies! Learn more: https://t.co/aiAEmjbbeC and take action: https://t.co/HV6UBPiG01 #AMR,Planet Earth,Natural Resources Defense Council | The Earth's Best Defense,2019-07-03
Wed Jul 03 18:57:54 +0000 2019,1146493284744933377,"RT @UPennDBEI: Sociological solutions to #AntibioticResistance? Working toward wise prescribing is a great frame for overarching questions,…","Minneapolis, MN","CIDRAP's Antimicrobial Stewardship Project (ASP) provides current, accurate, and comprehensive information on antimicrobial resistance & stewardship. #IDTwitter",2019-07-03
Wed Jul 03 18:53:52 +0000 2019,1146492268213354496,"RT @DrLloyd_P: This is very exciting, Philippe, and we’re looking forward to working with you all #researchneverstops #amr #antibiotics #An…",,,2019-07-03
Wed Jul 03 18:52:06 +0000 2019,1146491825089372162,"RT @Meghan_BB_: @herbivore_club PLEASE STOP IGNORING FACTS!⏳
#GoVegan to help combat
#ClimateChange🌎
#GlobalWarming🔥
#Deforestation🌲
#Rainf…",Hamilton NJ,"Love humanity but prefer animals over most people. #CatsAgainstTrump😽 Love the Lord, not religion. #impeachtrump 🇺🇸🏳️‍🌈#resistance",2019-07-03
Wed Jul 03 18:45:09 +0000 2019,1146490074655318018,"US-based friends: This is probably our biggest week for grilling. Not sure where you live, but it's HOT in the Nation's Capitol and food will go bad quickly. Read this @CDCgov infographic on safe grilling to keep food-borne illness away this holiday weekend! #AntibioticResistance https://t.co/6hRUzs5ICG","Washington, DC",Join the #AntibioticResistance Action Center at the George Washington University (#GWSPH) in the global battle against #antibioticresistance & #superbugs,2019-07-03
Wed Jul 03 18:44:25 +0000 2019,1146489892576382976,RT @NCDCgov: Want to learn how to handle antibiotics with care and help us stop the spread of #AntibioticResistance? Try this interactive a…,lagos Nigeria,"Relationship Coach...Biz owner ....Conference speaker! 
with ambassadorial responsiblities to my generation..!!",2019-07-03
Wed Jul 03 18:43:21 +0000 2019,1146489621624348672,RT @bloomburton: [Press Release] @Appili Signs $3M USD Grant Contract with the United States Department of Defense to Develop Antibiotics t…,United States,We are a nation-wide team of researchers seeking solutions to #AntimicrobialResistance. We believe everyone has a part to play to find and implement solutions.,2019-07-03
Wed Jul 03 18:40:45 +0000 2019,1146488969531666437,"RT @_FaceSA: Hi everyone, Vanessa Carter here. An #AntibioticResistance activist and #ePatient scholar - #hcsmSA",Wales - Cymru + Global,"#Ataxia is a #raredisease
affecting #Balance #Speech and #Coordination

#Patients Helping Patients
#MovementDisorder
#Health #Medical #pharma",2019-07-03
Wed Jul 03 18:39:32 +0000 2019,1146488662496092161,"Hi everyone, Vanessa Carter here. An #AntibioticResistance activist and #ePatient scholar - #hcsmSA",South Africa,@StanfordMedX ePatient Scholar for #AntibioticResistance | #hcldr | #HIMSS17 Ambassador | #OneHealth | Founder of #hcsmSA | #ProtectAntibioticsZA,2019-07-03
Wed Jul 03 18:37:42 +0000 2019,1146488199834849280,"RT @Meghan_BB_: @herbivore_club PLEASE STOP IGNORING FACTS!⏳
#GoVegan to help combat
#ClimateChange🌎
#GlobalWarming🔥
#Deforestation🌲
#Rainf…","Planet Earth, Milky Way Galaxy","♡ Encouraging kindness toward all animals: human & non-human. ♡ Humankind living in harmony with each other & with Animalkind = HumanimalKind. 
🐷🐮🐔 🚫 🥓🍔🍗",2019-07-03
Wed Jul 03 18:34:30 +0000 2019,1146487394532646913,"RT @battlesuperbugs: .@BradSpellberg: The best-selling antibiotics sell in the range of tens of millions of dollars per year, which is a ca…","New Delhi, India",Ex-health journo @CNNNews18. Work on #Vaccines #AMR #TobbacoControl at @MoHFW_India & @CDDEP. Blog for #BMJOpinion & @TC_BMJ. Speaker @theWCSJ 2017.,2019-07-03
Wed Jul 03 18:26:20 +0000 2019,1146485341219508224,"RT @WHOSEARO: #AntibioticResistance is accelerated by the misuse and overuse of antibiotics.
 
 👉  The world urgently needs to change the w…","Mumbai, India",#AYUSH #ZindagiRaheKhush #Ayurved #CCRAS Researcher in Ayurved,2019-07-03
Wed Jul 03 18:03:00 +0000 2019,1146479470192267265,"RT @WHOSEARO: #AntibioticResistance is accelerated by the misuse and overuse of antibiotics.
 
 👉  The world urgently needs to change the w…","Port Harcourt, Nigeria",A babe.,2019-07-03
Wed Jul 03 18:02:30 +0000 2019,1146479343079755776,RT @WHOSEARO: To combat #AntibioticResistance pharmacists 👩🏾‍⚕️👨🏻‍⚕️ should ONLY dispense #antibiotics when the patients have a valid presc…,"Port Harcourt, Nigeria",A babe.,2019-07-03
Wed Jul 03 18:00:55 +0000 2019,1146478943911985155,"RT @battlesuperbugs: Frightening: ""As pan-resistant infections have become a reality, clinicians face an increasing dilemma with how to tre…",U.K. ,"Pelvic floor physiotherapist in Urogynaecology, passionate about improving prevention, diagnosis and treatment of UTI. Figure Skater, cyclist, wife and mum 😃",2019-07-03
Wed Jul 03 18:00:33 +0000 2019,1146478850941083648,".@BradSpellberg: The best-selling antibiotics sell in the range of tens of millions of dollars per year, which is a catastrophic failure for for-profit ventures but would be a lifeline to nonprofits. via @GoHealio #AntibioticResistance https://t.co/k9l0eqXsbu","Washington, DC",Join the #AntibioticResistance Action Center at the George Washington University (#GWSPH) in the global battle against #antibioticresistance & #superbugs,2019-07-03
Wed Jul 03 17:34:59 +0000 2019,1146472417201573893,"We're so proud of the work California ACEP member, Dr. Larissa May (@LSMayMD) is doing to combat antibiotic overuse! #AntibioticResistance #antibiotics https://t.co/g9PHP2Ken0","Sacramento, CA",California ACEP is a non-profit association representing and advocating on behalf of California’s emergency physicians and patients.,2019-07-03
Wed Jul 03 17:31:55 +0000 2019,1146471645621547008,#eat #vegan #cheese and #milk and #icecream and #yogurt and #sourcream and #govegan #dairyisscary #dairyiscruel #dairykills #ditchdairy #dairy #antibiotics #antibioticresistance #veganaf #veganforlove #veganforlife #health #nutrition #delicious #love 💕,San Jose,Graphic Designer Slash Artist. I've had art shows and fantasized about a career in comedy. I've won a few awards for design and am still too chicken to karaoke.,2019-07-03
Wed Jul 03 17:19:31 +0000 2019,1146468525588058113,RT @WHOSEARO: To combat #AntibioticResistance pharmacists 👩🏾‍⚕️👨🏻‍⚕️ should ONLY dispense #antibiotics when the patients have a valid presc…,"Lagos,Nigeria",Wife ||Gemini ||Pharmacist || Catholic || MUFC || Goal setter || Independent || Always Happy || team follow back,2019-07-03
Wed Jul 03 17:08:50 +0000 2019,1146465837697642496,RT @WHOSEARO: To combat #AntibioticResistance pharmacists 👩🏾‍⚕️👨🏻‍⚕️ should ONLY dispense #antibiotics when the patients have a valid presc…,nigeria,"Pharmacist. Global Health Enthusiast.


IG and YouTube channel: @pharmisrael",2019-07-03
Wed Jul 03 17:08:31 +0000 2019,1146465755417980929,"RT @WHOSEARO: #AntibioticResistance is accelerated by the misuse and overuse of antibiotics.
 
 👉  The world urgently needs to change the w…",nigeria,"Pharmacist. Global Health Enthusiast.


IG and YouTube channel: @pharmisrael",2019-07-03
Wed Jul 03 17:07:20 +0000 2019,1146465459413377027,"RT @JPIAMR: Now published
New JPIAMR Roadmap of Actions 2019-2024

The guide for future joint transnational actions of the #JPIAMR and a re…",Ghost town,Superbug slayer~almost a geek. F1~ Hamilton fan girl. Wanderer~ Lover of the finer things of life.,2019-07-03
Wed Jul 03 16:08:01 +0000 2019,1146450534058139649,"@JPIAMR join forces with @WaterJPI  and @JPIOceans for international showcase @siwi_water in Stockholm on Aug. 28th. Theme: Challenges of #Contaminants of Emerging Concerns, including Antibiotic Resistant Bacteria.

More here: https://t.co/ViFIIWvk5C
#AMR #AntibioticResistance https://t.co/UK2sexGb13",,The Joint Programming Initiative on Antimicrobial Resistance. Coordinates Strategic #AMR Research and Funding. 27 member nations. #Antibioticresistance #Global,2019-07-03
Wed Jul 03 16:02:23 +0000 2019,1146449114894393345,Some good news! A pharmacist-led protocol using rapid diagnostic testing to rule out MRSA infections at an OH hosp last year led to 80% of patients being de-escalated on vancomycin within 24 hours of receiving negative test results. https://t.co/dVtOTGHkon #AntibioticResistance,"Washington, DC",Join the #AntibioticResistance Action Center at the George Washington University (#GWSPH) in the global battle against #antibioticresistance & #superbugs,2019-07-03
Wed Jul 03 14:54:01 +0000 2019,1146431907498008576,RT @WMicrobiomeDay: #WorldMicrobiomeDay keeps on giving - check out the latest blog on #AntibioticResistance from Dhrati Parangia APC #Micr…,Cork,APC Microbiome Ireland  is a flagship SFI Research Centre & global leader in microbiome science @scienceirel @ucc @teagasc #BelieveinScience #MicrobiomeIreland,2019-07-03
Wed Jul 03 14:44:58 +0000 2019,1146429631333097473,"RT @Nosopharm: Nosopharm and @Evotec enter into collaboration to accelerate development of novel antibiotics #AntibioticResistance
https://…","Oxford, UK","Drug inventor, business developer, Evotec, biotech builder, MBA, PhD computational chemist, biotech/pharma industry, cyclist, ex-Oxford rower & LFC fan!",2019-07-03
Wed Jul 03 14:33:01 +0000 2019,1146426624516268032,#WorldMicrobiomeDay keeps on giving - check out the latest blog on #AntibioticResistance from Dhrati Parangia APC #MicrobiomeIreland @teagasc https://t.co/YLwfJ1tY9o #MindYourMicrobes https://t.co/xecviDxS92,,June 27th is a day to celebrate all things Microbiome around the world. The theme for World Microbiome Day 2019 is Antibiotic Resistance.,2019-07-03
